drink_name,recipe,recipe_url,url_of_image
Shandy,"['1 (12 ounce) bottle lager-style beer ', '½ cup prepared lemonade ']",https://www.allrecipes.com/recipe/149943/shandy/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2469721.jpg
Nova Scotia Beer Warmer,"['1 (12 fluid ounce) can beer ', '3 dashes hot pepper sauce (e.g. Tabasco™) ']",https://www.allrecipes.com/recipe/83944/nova-scotia-beer-warmer/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F970747.jpg
John's Tasty German Cherry Beer,"['½ cup cherry juice ', '1 (12 fluid ounce) can or bottle wheat beer (Hefeweizen) ']",https://www.allrecipes.com/recipe/49659/johns-tasty-german-cherry-beer/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5238384.jpg
Strawberry Beer Margaritas,"['1 pound fresh strawberries, hulled and cut into chunks ', '12 fluid ounces white tequila ', '1 (12 fluid ounce) can or bottle lemon-lime flavored carbonated beverage ', '1 (12 fluid ounce) can or bottle light beer ', '1 (12 fluid ounce) can frozen limeade concentrate, thawed ', '  ice, or as needed ', '1 teaspoon kosher salt for rimming glasses  (Optional)']",https://www.allrecipes.com/recipe/232389/strawberry-beer-margaritas/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1006403.jpg
Beer Margaritas,"['1 (12 fluid ounce) can frozen limeade concentrate ', '12 fluid ounces tequila ', '12 fluid ounces water ', '12 fluid ounces beer ', '  ice ', '1  lime, cut into wedges ']",https://www.allrecipes.com/recipe/63191/beer-margaritas/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F176919.jpg
Beermosa,"['1 (12 fluid ounce) can or bottle beer ', '4 fluid ounces orange juice ']",https://www.allrecipes.com/recipe/244845/beermosa/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5260709.jpg
Stout and Ale,"['1 (12 fluid ounce) bottle lager beer (such as Harp®) ', '1 (12 fluid ounce) can or bottle Irish stout beer (such as Guinness®) ']",https://www.allrecipes.com/recipe/216528/stout-and-ale/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9086674.jpg
Summer Beer II,"['1 (12 fluid ounce) can frozen pink lemonade concentrate, thawed ', '12 fluid ounces water ', '12 fluid ounces vodka ', '1 (12 fluid ounce) can or bottle beer ']",https://www.allrecipes.com/recipe/20402/summer-beer-ii/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F428388.jpg
Beergarita,"['6 (12 fluid ounce) cans or bottles beer ', '1 (12 fluid ounce) can frozen limeade concentrate (such as Minute Maid®) ', '12 fluid ounces tequila ', '6 cups ice cubes ']",https://www.allrecipes.com/recipe/245788/beergarita/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3172282.jpg
Beer Floats,"['1 cup chocolate stout beer ', '1 scoop coffee ice cream ', '1 pinch unsweetened cocoa powder ', '1 cup Belgian-style raspberry sour beer ', '1 scoop vanilla ice cream ']",https://www.allrecipes.com/recipe/270577/beer-floats/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6348105.jpg
Micheladas with Tajin,"['1  lime, juiced ', '1 teaspoon chile-lime seasoning (such as Tajin®), or more to taste ', '  ice ', '½ cup tomato juice cocktail (such as Clamato®), chilled ', '1 tablespoon chamoy (Mexican chili fruit condiment)  (Optional)', '1 teaspoon hot pepper sauce (such as Tapatio®) ', '1 teaspoon Worcestershire sauce ', '1 teaspoon soy sauce ', '¼ teaspoon cayenne pepper  (Optional)', '1 (12 fluid ounce) can or bottle dark beer (such as Dos Equis XX Cerveza) ']",https://www.allrecipes.com/recipe/278634/micheladas-with-tajin/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8533125.jpg
Granny Smackers,"['1 (12 fluid ounce) can or bottle beer ', '1 (6 ounce) can frozen lemonade concentrate ', '3 fluid ounces vodka ']",https://www.allrecipes.com/recipe/54696/granny-smackers/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F824293.jpg
Beer Margaritas,"['1 (12 fluid ounce) can frozen limeade concentrate ', '12 fluid ounces tequila ', '12 fluid ounces water ', '12 fluid ounces beer ', '  ice ', '1  lime, cut into wedges ']",https://www.allrecipes.com/recipe/63191/beer-margaritas/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fcf-images.us-east-1.prod.boltdns.net%2Fv1%2Fstatic%2F1033249144001%2F06cce76c-56ac-4a35-99e5-615cdfa189a3%2F82499b29-c5b2-4931-b403-2264a380a5ff%2F640x360%2Fmatch%2Fimage.jpg
