drink_name,recipe,recipe_url,url_of_image
A Beginner's Guide to Sour Beers,[],https://www.thespruceeats.com/beginners-guide-to-sour-beers-4707030,https://www.thespruceeats.com/thmb/swGPc4mOsJM8u2Wh24MdqasIZY8=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/SourBeer-001-5078ac43484b4a7fa15ddda66655b323.jpg
11 Most Refreshing Summer Shandy Recipes,[],https://www.thespruceeats.com/10-most-refreshing-summer-shandy-recipes-4682574,https://www.thespruceeats.com/thmb/wBqH_3rr40yueybxA-usNRqnMCs=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GrapefruitShandy-007-5c6c27b9c9e77c00013b3ca4.jpg
Cranberry Ginger Shandy,"['1 1/2 cups cranberry juice', '1 (12-ounce) bottle) ginger beer', '1/2 cup lemon juice', '2 (12-ounce) bottles pale ale', 'Ginger sugar', 'Lemon wedges']",https://www.thespruceeats.com/cranberry-ginger-shandy-recipe-4588955,https://www.thespruceeats.com/thmb/LvNpIbwfQiCK7zT4xX9PFBQQi1s=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/CranberryGingerShandy-007-5c90fe99c9e77c0001ff0b73.jpg
Spicy Pineapple Shandy,"['1 ounce tequila', '2 ounces pineapple juice', '1/2 ounce lemon juice', '1/2 ounce jalapeño simple syrup', '6 ounces pale ale beer']",https://www.thespruceeats.com/spicy-pineapple-shandy-recipe-4588949,https://www.thespruceeats.com/thmb/cArduWlGdRNkhoW9PhwI0Z0yVLQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/PineappleShandy-004-5c8fb84246e0fb00016ee0f6.jpg
What Is Pumpkin Beer?,[],https://www.thespruceeats.com/what-is-pumpkin-beer-5082120,https://www.thespruceeats.com/thmb/bVkeTaFIZCylzDz8AfYFfbGG32Y=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/what-is-pumpkin-beer-5082120-009-d0ad056da58e49d6b380240e53f971e6.jpg
Easy Summer Shandy,"['1/2 (12-ounce) can or bottle beer', '6 ounces lemonade', 'Lemon slice']",https://www.thespruceeats.com/easy-shandy-recipe-758997,https://www.thespruceeats.com/thmb/YZQrjcBmEMYIcUZplgXZxRmpfy8=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/easy-shandy-recipe-758997-hero-01-3f9819c02c1d4103978f131f4f4d381b.jpg
A Working Definition of Craft Beer,[],https://www.thespruceeats.com/craft-beer-definition-353250,https://www.thespruceeats.com/thmb/XnAql8K2jEkx3A8kXFcQvA3xjvk=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Stocksy_txp1442cbddj6U200_Medium_1867627-d13ce49f19ea4d72a9f22e958a4860e3.jpg
Beers With(out) Beards,[],https://www.thespruceeats.com/beers-without-beards-female-owned-breweries-5116590,https://www.thespruceeats.com/thmb/Ltq4ITaAxeTWotD-nbe1KHuuyzQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/HopCultureBeersWithoutBeards-d71ba6c0dc33464fb4753276d56f9e6e.jpg
The 10 Drinks That Defined the 2010s,[],https://www.thespruceeats.com/2010s-top-trending-drinks-4777284,https://www.thespruceeats.com/thmb/4uYRFkwWZXXbgpwZJw6atj5_yiQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/2010s-top-trending-drinks-4777284_final4-8e4948e19ea348578fc773d2ae5a5ec0.gif
15 Fun Beer Mixed Drink Recipes,[],https://www.thespruceeats.com/beer-mixed-drink-recipes-4156829,https://www.thespruceeats.com/thmb/x5L8CLgXJydemyqy3lnTrM1fM4E=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/spicy-michelada-mexican-beer-recipe-759731-12-5b3fd50e46e0fb003717edf0-ca3c9b5620e341ccac4734dd528e9013.jpg
How to Make a Black and Tan,"['6 ounces pale ale beer', '6 ounces Guinness stout beer']",https://www.thespruceeats.com/black-and-tan-cocktail-recipe-759593,https://www.thespruceeats.com/thmb/--BMIkeWHDEQjQykKLH_WoV6Ww0=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/black-and-tan-cocktail-recipe-759593-7-5b3fac0cc9e77c0037379852.jpg
No-Yeast Beer Bread,"['1/2 cup butter,', '3  cups self-rising flour', '1/4 cup sugar', '1/2 teaspoon salt', '1 (12-ounce) can  beer']",https://www.thespruceeats.com/no-yeast-beer-bread-4842866,https://www.thespruceeats.com/thmb/rBYpcoXMXJWjDq8uNKUP5lS0dIY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/NoYeastBeerBreadHERO-a192ab237f6f42ec8faca6986b7e8d29.jpg
Basil-Rosemary Orange Shandy,"['3 cups water', '1 cup sugar', '1/4 cup basil leaves', '1/4 cup rosemary leaves', '2 (2-inch) pieces orange peel', '4 cups orange juice', '6 ounces basil-rosemary orangeade', '6 ounces wheat ale', 'Orange slice']",https://www.thespruceeats.com/basil-rosemary-orange-shandy-4571043,https://www.thespruceeats.com/thmb/INYZwVE3IbNHajDnzd--Kw_kWCw=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/OrangeShandy-010-5c90056a46e0fb000187a368.jpg
Easy Chelada With Mexican Beer,"['1 large lime', 'Coarse salt', '1 (12-ounce)\xa0 bottle light lager', 'Lime wedge']",https://www.thespruceeats.com/easy-chelada-beer-recipe-353185,https://www.thespruceeats.com/thmb/IqSCu3Jrp0DvFXke72bv124mp5I=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/easy-chelada-beer-recipe-353185-hero-1-a6f5cf9344004854ac86654ad171d947.jpg
Beer Styles 101,[],https://www.thespruceeats.com/beer-styles-101-353059,https://www.thespruceeats.com/thmb/kQP1FjawnYgaDexzszzREG4hkDU=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Beer-58a6c8883df78c345b3f32fa.jpg
On the Fly: Marcus Baskerville of Weathered Souls Brewing,[],https://www.thespruceeats.com/on-the-fly-marcus-baskerville-of-weathered-souls-brewing-co-5118307,https://www.thespruceeats.com/thmb/0p6ucgh7GgAWZFR2cM1gdZypmlQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/marcusbaskerville-87cae840aa6f4c4b96da3bf962fd0fe1.jpg
Grapefruit Shandy,"['1 1/2 ounces grapefruit juice', '1 1/2 ounces simple syrup', '3 ounces water', '6 ounces beer', 'Grapefruit slice']",https://www.thespruceeats.com/grapefruit-shandy-4587377,https://www.thespruceeats.com/thmb/wBqH_3rr40yueybxA-usNRqnMCs=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GrapefruitShandy-007-5c6c27b9c9e77c00013b3ca4.jpg
10 Popular German Beers,[],https://www.thespruceeats.com/great-german-beers-353201,https://www.thespruceeats.com/thmb/QwNL-kFd3DtCcm1X4DHszPlBMXo=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/German-beer-5676098e3df78ccc152035a6.jpg
The 10 Best Fruit Beers to Drink in 2021,[],https://www.thespruceeats.com/best-fruit-beers-4061376,//:0
A Beginner's Guide to Sour Beers,[],https://www.thespruceeats.com/beginners-guide-to-sour-beers-4707030,https://www.thespruceeats.com/thmb/swGPc4mOsJM8u2Wh24MdqasIZY8=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/SourBeer-001-5078ac43484b4a7fa15ddda66655b323.jpg
A Working Definition of Craft Beer,[],https://www.thespruceeats.com/craft-beer-definition-353250,https://www.thespruceeats.com/thmb/XnAql8K2jEkx3A8kXFcQvA3xjvk=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Stocksy_txp1442cbddj6U200_Medium_1867627-d13ce49f19ea4d72a9f22e958a4860e3.jpg
Beer Nutritional Information,[],https://www.thespruceeats.com/beer-nutrition-information-353027,https://www.thespruceeats.com/thmb/wSZDUinS6Nh7WQ3B-mCovbSYcig=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/119707162_HighRes-58a6c3853df78c345b35d3d4.jpg
Beer Nutritional Information,[],https://www.thespruceeats.com/beer-nutrition-information-353027,https://www.thespruceeats.com/thmb/wSZDUinS6Nh7WQ3B-mCovbSYcig=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/119707162_HighRes-58a6c3853df78c345b35d3d4.jpg
Edna's Lunchbox Drink,"['6 ounces\xa0chilled orange juice', '6 ounces\xa0chilled light beer', '1 ounce\xa0amaretto', 'Garnish: 1 slice of orange\u200b']",https://www.thespruceeats.com/ednas-lunchbox-4133990,https://www.thespruceeats.com/thmb/dDVpOJO8WFfYCiYrRMzaV3Mxko4=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-557476919-5ba164d646e0fb0050c66f97.jpg
Find the Right Beer for Beer Can Chicken,[],https://www.thespruceeats.com/right-brew-for-beer-can-chicken-353349,https://www.thespruceeats.com/thmb/j-Qt6mnvscdly7ZzEDi4doBF9bg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/14222546251_147acdc70b_o-58a6ca495f9b58a3c9f9a3f9.jpg
What Is Belgian Beer?,[],https://www.thespruceeats.com/belgian-beer-styles-1374890,https://www.thespruceeats.com/thmb/vW8Qwg16FR4Fambo355HvQxho-E=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/4904181674_cf16c83f54_o-58ad79e33df78c345b84ca8d.jpg
